uid,iid
672,1300
672,7836
672,6536
672,8287
672,7489
672,7654
672,9250
673,1235
673,8282
674,6753
674,1979
674,5259
674,1998
675,3460
675,12403
676,1177
678,9111
678,8124
679,1712
683,10984
685,1246
686,302
686,9027
686,11447
686,3624
687,2505
687,1412
688,9702
688,12362
688,7830
688,3842
690,3520
690,187
694,6147
695,9235
695,12355
695,8629
697,2528
697,9263
697,12551
697,5526
697,2564
697,9516
697,3
697,12579
697,11982
699,7896
699,7803
699,6120
699,5967
699,2170
699,11509
700,12223
701,8436
701,12248
702,5047
705,12255
705,543
708,12776
709,10716
709,11194
709,3288
709,10795
710,2438
711,248
711,9661
712,3033
712,2204
712,11149
712,1366
714,2809
715,5590
715,11975
716,9031
717,11993
719,7463
720,4104
720,5263
722,635
722,6198
723,9307
724,2080
724,4780
725,6634
725,2396
725,4864
726,11834
727,3488
729,11818
730,2912
731,2319
732,6359
732,2186
733,3529
733,478
733,933
733,8351
733,6570
733,1393
733,4962
733,735
734,12298
735,4920
736,12352
737,7245
739,819
740,6905
741,811
741,2245
741,1393
741,7391
742,1697
742,5288
742,4390
742,7469
742,9208
742,3416
742,439
742,7798
742,8493
742,10849
742,5265
742,8261
742,11308
742,10129
742,5359
742,3328
742,7429
742,6150
742,5927
742,5297
742,7012
742,10
742,10583
742,2620
742,5739
742,10483
742,12306
742,10322
742,12200
742,4962
742,2918
742,1562
743,10328
743,11945
743,8784
743,8641
743,4982
743,7690
743,11240
743,5312
743,4769
743,2856
743,3986
743,3090
743,2642
744,9948
744,10141
744,3045
744,5320
745,8535
745,8636
745,8433
747,5017
749,12262
750,6936
750,543
756,9236
756,5263
756,10298
757,6129
758,12165
758,4848
758,5861
758,10223
758,4097
758,1526
758,1873
758,4837
759,12272
760,4837
761,9234
761,11629
761,11995
761,2148
762,10496
763,8666
763,4206
764,4611
768,9325
769,3485
769,3862
770,2766
770,2631
770,9833
772,9538
774,8935
775,6287
776,4052
776,6399
776,7780
776,6334
776,4642
776,3388
776,10609
778,10811
778,8548
778,977
778,8096
781,12092
781,8747
782,464
782,83
782,1153
783,6885
783,12065
783,2752
784,7946
786,1393
790,2400
790,4974
790,4203
791,3529
791,5620
791,4504
791,8185
791,4323
791,6762
791,2342
792,515
795,4873
795,8391
795,1413
795,9160
796,8037
796,5477
797,3456
799,5008
799,5210
803,1340
803,854
803,10499
804,782
807,2117
807,6621
807,942
808,789
808,9788
809,7924
809,10550
809,437
809,9539
809,9354
816,2236
817,1719
818,2713
821,4325
823,4779
823,3433
823,11453
823,132
825,8155
825,3068
825,11947
826,9264
827,3842
827,1414
828,10474
828,3578
829,9756
830,8615
832,7233
833,1993
834,10917
834,9055
836,8257
837,1777
838,4889
838,6543
842,6518
842,2295
842,1602
842,10167
843,12287
843,8853
843,3874
843,12754
843,1635
843,8119
843,9844
844,5151
844,22
844,11809
844,9327
846,6171
846,8781
846,4734
846,12597
846,595
846,10453
846,8772
846,3731
846,721
846,6205
846,975
846,204
846,5813
846,10747
846,339
846,2833
846,11980
846,10220
846,10682
846,9113
846,9785
846,7008
846,8196
846,1912
846,5468
846,2713
846,10903
846,8631
846,11209
849,7260
851,2596
851,7401
852,2237
852,5331
852,8099
852,4493
852,5031
852,7296
852,8548
852,10034
852,12653
852,5012
852,1206
852,12445
852,5042
852,10835
852,619
852,3041
852,977
852,5526
852,9051
852,5968
852,10678
853,7618
853,10659
853,4081
853,2662
855,3812
855,10684
855,8015
857,7545
858,3099
858,2034
858,12812
859,10867
859,8442
860,2291
861,5715
861,4764
866,6407
867,5397
867,3488
867,9459
867,8101
868,2914
868,5816
868,3171
868,6464
870,6213
871,2629
871,2240
872,10223
872,5004
872,7233
875,6444
875,4165
875,8909
876,5432
876,2622
877,4043
877,12737
878,5800
880,4251
880,628
880,9192
882,2869
882,7992
882,297
883,4987
884,11476
885,5222
886,12412
886,6307
886,8275
887,11922
889,5356
893,2688
893,10820
893,3433
895,5529
899,782
899,2575
899,6237
899,8402
899,3550
899,10684
899,1339
899,2080
900,10586
900,11938
901,5673
901,8920
901,690
902,5369
902,7818
902,2617
902,11157
902,10307
905,7992
905,9956
905,5191
905,7955
907,9747
909,7347
909,12709
912,9320
914,4114
914,8754
914,6245
914,8697
914,7199
917,5035
918,8004
919,4343
919,7034
919,6131
919,11404
919,9967
919,2318
919,8449
919,10933
919,7538
919,5598
919,8027
919,10787
919,10015
919,6068
919,112
919,482
919,11713
919,2199
919,9486
919,4212
919,7180
919,4107
919,5369
919,11200
919,8204
919,700
919,4917
919,1858
919,1769
921,7210
921,6523
921,162
922,5004
922,8631
924,5151
924,12729
924,544
924,3597
924,4469
924,2871
924,11629
924,10003
924,3654
924,3758
924,8671
924,2884
924,10008
929,10153
929,3615
931,7512
933,10481
935,11225
936,7690
936,4930
936,7327
936,5677
936,2216
936,3967
936,9296
937,7109
940,12362
942,6063
943,11802
943,4026
943,637
943,9590
943,5975
944,3911
944,5197
944,8576
944,10174
947,7899
947,294
947,12153
947,7890
947,5468
951,2478
954,3529
954,1393
954,12412
954,8351
956,6326
956,10681
956,8017
956,7452
956,7668
956,9229
960,7438
960,9320
960,2491
960,4462
961,6995
965,7643
965,3080
965,313
965,9145
965,7420
965,2739
965,4731
965,5721
965,2451
965,10104
965,9021
965,4182
965,7737
965,3474
965,9715
965,609
965,9312
965,1987
965,9831
965,12386
965,6182
965,8333
965,11718
965,2588
968,524
968,12511
968,6063
968,1461
969,1015
969,6138
970,7163
971,2551
975,1576
975,2775
975,10475
978,700
978,11378
978,8576
978,9848
979,11434
979,1059
979,10903
979,9464
979,5484
979,6953
979,2912
979,5004
980,6988
980,2015
980,10613
980,6780
980,2279
980,12365
980,1016
980,4848
980,1878
980,4514
980,510
980,4125
981,3392
981,3842
982,3887
982,735
982,9153
982,12412
985,7525
985,12400
985,4467
985,4360
985,923
985,10646
985,1993
985,2750
985,1920
985,12733
985,9930
985,6576
985,9177
985,6013
985,2498
985,7476
985,4987
985,9162
987,12204
988,2846
988,10652
990,8652
990,1030
990,2419
993,6143
993,2212
993,7819
994,12255
995,5464
995,601
998,12415
999,11120
1002,4198
1002,5421
1002,786
1002,297
1002,976
1002,5691
1002,2631
1002,1467
1002,8309
1002,5116
1002,1581
1002,8603
1002,4828
1002,1180
1002,8850
1002,10168
1004,770
1004,10168
1004,8196
1004,3943
1005,7049
1005,1387
1005,3796
1005,12153
1005,2209
1005,10670
1005,4284
1005,9906
1005,2501
1005,977
1005,8558
1005,2207
1005,11303
1005,8716
1007,1393
1007,8351
1008,5423
1008,2503
1008,5878
1008,6365
1008,3394
1008,31
1008,10047
1008,8116
1010,555
1010,3756
1010,4974
1010,11767
1011,3531
1013,10334
1013,10336
1014,3487
1014,7490
1014,8744
1014,851
1014,5897
1016,5908
1018,8844
1020,9944
1020,5943
1020,5551
1020,9303
1021,11045
1021,12114
1021,6685
1021,9191
1021,7769
1021,1478
1021,7085
1023,4968
1024,9294
1026,717
1027,6966
1030,2901
1030,6913
1031,6030
1031,9659
1031,5541
1031,12104
1031,4104
1031,699
1031,3030
1031,338
1032,9926
1032,9547
1034,3560
1035,11412
1036,6317
1038,5475
1038,3091
1038,8176
1038,12226
1038,6872
1038,9391
1038,9083
1038,434
1038,7828
1038,9296
1038,11650
1038,10789
1038,3068
1039,8747
1039,3696
1039,2004
1041,7565
1041,8559
1043,10087
1043,4607
1043,12412
1049,5431
1050,5882
1051,4980
1052,1903
1052,11597
1052,6980
1052,2332
1054,12712
1054,5858
1054,12490
1054,1804
1054,2421
1054,7451
1054,8898
1054,8755
1057,1723
1057,12728
1057,12533
1058,4815
1058,10957
1058,830
1058,11345
1058,86
1058,5253
1058,10508
1058,6928
1058,11383
1059,3478
1060,5838
1060,6984
1062,12247
1063,10508
1065,2218
1067,8101
1068,6131
1068,7234
1069,10617
1069,2048
1069,7925
1069,4978
1069,6182
1069,8855
1069,6590
1069,4716
1069,4195
1069,7093
1069,10645
1069,1393
1069,2560
1069,4138
1069,6046
1069,4790
1069,8019
1069,7063
1069,747
1069,10491
1070,5569
1070,9341
1075,1472
1076,9035
1076,6690
1077,6920
1078,8264
1080,2080
1081,9107
1081,5664
1081,1893
1081,4750
1083,9518
1083,2029
1083,12694
1083,6795
1084,8932
1084,3911
1085,3748
1086,9106
1087,5019
1087,7390
1087,9389
1087,2022
1088,7615
1089,6747
1090,2182
1091,2703
1091,12391
1091,3045
1091,2324
1092,12675
1094,1092
1094,8231
1094,11997
1097,8426
1100,8864
1100,1001
1102,8457
1102,8426
1104,1836
1105,4823
1105,5691
1105,6639
1105,8548
1105,5133
1105,1308
1105,11962
1105,5512
1105,11252
1105,1035
1105,802
1105,5511
1107,701
1107,8063
1107,3140
1107,1235
1108,5888
1109,8566
1112,2721
1112,11467
1113,9505
1113,2890
1114,11822
1114,11841
1114,3582
1114,5829
1115,9658
1115,5679
1115,1332
1115,1454
1115,12514
1116,9518
1118,1670
1119,9947
1119,4981
1119,3370
1119,6857
1119,85
1119,905
1119,3560
1119,9908
1119,1688
1119,4033
1119,3888
1119,1396
1119,4790
1119,724
1119,2799
1119,12646
1119,10144
1119,3046
1119,11814
1119,3125
1119,5195
1119,2837
1119,2147
1119,10584
1119,9145
1119,6213
1119,8849
1119,600
1119,3092
1119,4148
1119,9337
1119,4731
1119,9451
1119,12399
1119,10239
1119,1868
1119,8274
1119,3473
1119,609
1119,10074
1119,9304
1119,10116
1120,4042
1120,9470
1120,4418
1120,4603
1120,11279
1120,4501
1120,6627
1120,8297
1120,10799
1122,9829
1122,11975
1122,12442
1122,10298
1123,8520
1123,5381
1125,786
1126,10557
1127,4476
1129,10465
1129,1250
1130,10213
1130,9620
1130,2503
1130,7017
1131,9234
1131,7433
1131,7705
1132,8080
1133,10517
1133,4284
1133,3796
1133,10001
1135,9081
1135,70
1135,12298
1135,5094
1135,6618
1135,8402
1135,1011
1135,643
1135,12404
1135,4922
1135,4828
1135,10684
1135,1393
1135,11498
1135,182
1135,4876
1135,1015
1135,861
1135,1050
1135,1290
1135,4675
1135,7505
1136,809
1136,351
1136,6491
1138,4265
1138,7643
1138,2769
1138,2699
1138,8886
1139,3247
1139,10003
1139,7490
1139,6965
1139,7971
1139,5338
1139,4302
1139,11650
1143,3582
1144,8336
1145,6881
1145,11614
1145,12412
1145,2220
1147,3822
1147,3281
1147,2338
1147,11978
1147,10385
1147,6443
1150,4889
1150,9545
1150,8134
1150,12525
1150,5609
1150,499
1150,955
1150,11830
1151,1387
1152,1333
1152,10695
1152,8563
1154,7173
1154,9540
1154,5158
1157,10809
1158,6232
1158,5690
1158,3174
1159,10783
1159,8828
1160,1387
1160,1450
1160,7729
1160,11251
1160,6508
1160,10296
1160,4881
1160,4050
1160,1092
1161,11678
1161,11497
1162,5818
1162,6836
1162,3030
1162,3090
1162,9301
1164,8522
1164,9286
1164,2626
1164,3881
1164,11013
1164,5972
1164,9033
1164,10710
1165,1710
1165,652
1166,8930
1166,4153
1166,2138
1166,12043
1166,4396
1166,4987
1166,786
1166,8101
1166,10773
1166,1361
1166,5620
1166,10388
1167,1008
1169,10244
1170,2763
1170,4191
1171,4239
1171,207
1171,1681
1171,5015
1173,8139
1174,9459
1174,7374
1174,3727
1174,10707
1175,2351
1175,4356
1176,11885
1177,3941
1178,2753
1179,10368
1180,12748
1181,1073
1181,3441
1182,3474
1185,12514
1185,9899
1185,4557
1185,9431
1186,6205
1186,735
1186,8121
1186,339
1186,471
1186,5004
1186,6856
1186,657
1187,786
1189,8571
1189,1993
1191,7089
1191,11116
1193,3377
1193,2976
1193,12715
1193,7722
1193,9606
1196,5151
1196,12562
1196,9829
1197,11019
1198,10011
1198,9399
1199,6631
1200,4379
1200,9829
1201,5445
1201,3625
1201,9980
1201,4079
1207,7728
1207,9031
1207,9814
1207,10124
1208,2022
1208,9848
1208,1000
1208,7021
1210,5976
1211,4716
1211,5570
1218,3311
1218,12412
1218,3179
1218,8043
1218,782
1218,3044
1219,8981
1219,10757
1219,12687
1219,5525
1221,5725
1221,996
1221,7536
1221,1483
1221,5576
1221,8697
1221,227
1223,6043
1223,1983
1223,7084
1223,4797
1225,726
1225,5462
1225,2665
1227,968
1229,10896
1229,6193
1232,6635
1232,8507
1233,4279
1234,1602
1235,5004
1235,5073
1235,8586
1235,3052
1235,4203
1236,830
1236,9569
1236,2019
1236,4414
1236,5685
1237,9068
1238,4154
1238,10372
1238,5750
1239,11944
1239,6185
1240,8614
1240,6361
1240,9192
1240,4243
1240,1222
1240,8633
1240,3997
1240,6187
1240,6171
1240,8270
1240,7627
1240,764
1241,6999
1241,8203
1241,1170
1242,12813
1243,8408
1248,3871
1248,3882
1248,9808
1248,9584
1248,5004
1248,76
1248,6206
1248,2042
1250,12017
1252,10219
1253,5874
1253,2999
1254,4265
1255,7401
1257,7208
1259,10665
1259,10187
1259,7034
1260,4642
1260,9250
1260,1602
1260,9313
1261,3903
1265,6836
1266,317
1266,12051
1266,2566
1266,5004
1266,8363
1266,8772
1267,9019
1270,5683
1271,11523
1272,3488
1272,8426
1273,9557
1274,6657
1274,6084
1274,12289
1275,4391
